"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.98449470850787,0.891,0.028,0,"0","Flt1"
0,6.7196970680292,0.913,0.064,0,"0","Fabp4"
0,6.45784572525607,0.901,0.061,0,"0","Plvap"
0,4.47812097923038,0.806,0.056,0,"0","Cdh5"
0,4.04635573162169,0.877,0.128,0,"0","Pecam1"
0,4.42038162281071,0.804,0.064,0,"0","Adgrf5"
0,4.76518783587394,0.82,0.088,0,"0","Ptprb"
0,4.91273425844724,0.827,0.097,0,"0","Ly6c1"
0,4.63290187131058,0.778,0.055,0,"0","Podxl"
0,5.55817992601171,0.736,0.025,0,"0","Cyyr1"
0,4.0951220017091,0.872,0.167,0,"0","Tm4sf1"
0,4.37736659656248,0.744,0.046,0,"0","Mmrn2"
0,4.34351470269554,0.768,0.071,0,"0","Esam"
0,4.36358521758709,0.734,0.052,0,"0","Egfl7"
0,4.13166941404579,0.74,0.06,0,"0","Kdr"
0,4.64028753679453,0.718,0.042,0,"0","Rasip1"
0,3.72820233377694,0.786,0.122,0,"0","Cd200"
0,6.13847225019343,0.676,0.025,0,"0","Slco2a1"
0,2.89735537558901,0.829,0.202,0,"0","Epas1"
0,2.82694930487181,0.775,0.153,0,"0","Cav1"
0,3.92110992045219,0.673,0.052,0,"0","Emcn"
0,3.64535623682457,0.742,0.13,0,"0","Eng"
0,3.69346232721125,0.761,0.158,0,"0","Ehd4"
0,1.93595674195699,0.723,0.121,0,"0","Cavin2"
0,3.47162737126409,0.698,0.099,0,"0","Cd93"
0,5.20168523847531,0.618,0.024,0,"0","Adgrl4"
0,3.48814657203106,0.74,0.151,0,"0","Slfn5"
0,5.65297487151115,0.611,0.022,0,"0","Ace"
0,3.24437635546755,0.683,0.105,0,"0","Apold1"
0,3.37394545562585,0.654,0.079,0,"0","Itga6"
0,3.40547665965374,0.667,0.101,0,"0","Ramp2"
0,2.28704827845873,0.724,0.16,0,"0","Cd34"
0,4.5060742620975,0.618,0.064,0,"0","Rnd1"
0,2.6069837033621,0.815,0.265,0,"0","Ly6a"
0,3.14378526839583,0.718,0.168,0,"0","Iigp1"
0,2.49408926020038,0.785,0.236,0,"0","Hspb1"
0,5.17399382392717,0.563,0.019,0,"0","Pcdh17"
0,2.20435288579821,0.78,0.24,0,"0","Sparcl1"
0,2.09482662836821,0.788,0.251,0,"0","Nfib"
0,4.89592052963741,0.565,0.029,0,"0","Cd36"
0,5.37188079616011,0.552,0.018,0,"0","Sox7"
0,3.44230827022885,0.647,0.114,0,"0","Mgll"
0,2.91381398175172,0.714,0.184,0,"0","Dlc1"
0,3.56468097166066,0.571,0.046,0,"0","Tie1"
0,3.43188556386588,0.638,0.115,0,"0","Tcim"
0,3.06308196102432,0.577,0.055,0,"0","Ecscr"
0,4.87760087319331,0.543,0.032,0,"0","Clu"
0,3.45007885862087,0.592,0.083,0,"0","Ctla2a"
0,2.70371059831768,0.64,0.132,0,"0","Kitl"
0,2.65045175924843,0.675,0.168,0,"0","Bcr"
0,2.94702412063503,0.625,0.122,0,"0","Col15a1"
0,2.61107982069953,0.696,0.193,0,"0","Pakap.1"
0,3.9899738471758,0.541,0.039,0,"0","Bcam"
0,2.55432513554607,0.665,0.164,0,"0","Crim1"
0,3.36417490288311,0.623,0.124,0,"0","Slc9a3r2"
0,1.27117092887622,0.819,0.321,0,"0","Timp3"
0,5.59878082829838,0.508,0.011,0,"0","Adgrg1"
0,1.77894885982992,0.734,0.238,0,"0","Ece1"
0,2.85365740818229,0.577,0.084,0,"0","Tinagl1"
0,2.98684534088763,0.658,0.171,0,"0","Nrp1"
0,4.45231276024319,0.522,0.039,0,"0","Plcb1"
0,2.07032427821088,0.728,0.245,0,"0","Cd81"
0,3.57646456648008,0.531,0.057,0,"0","Tek"
0,2.43162651714896,0.925,0.451,0,"0","Igfbp7"
0,1.85007812897212,0.792,0.319,0,"0","Plpp3"
0,3.56141150059096,0.543,0.07,0,"0","Ptprg"
0,1.66602067082909,0.766,0.294,0,"0","Cavin1"
0,2.75793454926356,0.568,0.097,0,"0","Prex2"
0,4.41741638721746,0.495,0.024,0,"0","Myct1"
0,3.605875488747,0.528,0.059,0,"0","Apbb2"
0,2.78570024550577,0.596,0.128,0,"0","Lrrc8c"
0,2.56243410011276,0.599,0.131,0,"0","4931406P16Rik"
0,2.28116497643407,0.664,0.197,0,"0","Wwtr1"
0,5.01055287041801,0.488,0.021,0,"0","C130074G19Rik"
0,2.01560748027454,0.595,0.128,0,"0","S1pr1"
0,5.71069537224622,0.476,0.012,0,"0","Grrp1"
0,4.11116350332479,0.496,0.032,0,"0","Fgd5"
0,4.31732598386525,0.489,0.026,0,"0","Sox18"
0,2.14399387546662,0.867,0.404,0,"0","Ier3"
0,2.24193249431867,0.683,0.224,0,"0","Bmpr2"
0,2.31528187336478,0.573,0.115,0,"0","Arhgap29"
0,5.1570372107842,0.481,0.023,0,"0","Clec14a"
0,3.75040599861401,0.503,0.047,0,"0","Jam2"
0,2.40823398746025,0.68,0.229,0,"0","Sgk1"
0,1.91617694551173,0.747,0.296,0,"0","Tsc22d1"
0,2.15283554849086,0.626,0.177,0,"0","Itga1"
0,1.72572629159143,0.833,0.385,0,"0","App"
0,2.83281214863026,0.611,0.163,0,"0","Pdlim1"
0,2.75677349842594,0.578,0.132,0,"0","Acvrl1"
0,1.86467897926163,0.641,0.197,0,"0","Crip2"
0,2.04422779803815,0.696,0.253,0,"0","Adamts1"
0,4.6638232338921,0.462,0.02,0,"0","Robo4"
0,2.50521308846088,0.654,0.216,0,"0","Pim3"
0,5.95992005301762,0.442,0.006,0,"0","Palmd"
0,3.7200775759039,0.502,0.068,0,"0","Rflnb"
0,1.83642874496816,0.904,0.477,0,"0","Sptbn1"
0,2.11855696950657,0.642,0.218,0,"0","Hspg2"
0,2.47770837730619,0.569,0.146,0,"0","Thbd"
0,3.94934575435225,0.472,0.05,0,"0","Uaca"
0,4.40353822493388,0.454,0.033,0,"0","Scarb1"
0,2.45404839698049,0.548,0.128,0,"0","Slc43a3"
0,2.55635828302556,0.511,0.091,0,"0","Cav2"
0,2.96387711012577,0.494,0.075,0,"0","Pkp4"
0,2.4663748055894,0.506,0.092,0,"0","F11r"
0,2.54228711045677,0.883,0.469,0,"0","Clic4"
0,2.75183798107085,0.527,0.116,0,"0","Ncoa7"
0,3.5525997791829,0.455,0.044,0,"0","Pdgfb"
0,2.24189767776848,0.571,0.16,0,"0","Luzp1"
0,2.18515785120868,0.535,0.125,0,"0","Elk3"
0,2.82053645434534,0.518,0.108,0,"0","Entpd1"
0,5.92383441402469,0.415,0.005,0,"0","Sox17"
0,2.23326249246849,0.578,0.168,0,"0","Calcrl"
0,2.06782596076053,0.672,0.263,0,"0","Klf7"
0,4.13323008546383,0.435,0.028,0,"0","Erg"
0,1.53322622422132,0.609,0.203,0,"0","Gng11"
0,1.90244475276611,0.772,0.367,0,"0","Col4a1"
0,2.15068829632545,0.592,0.188,0,"0","Plk2"
0,3.58385298157604,0.436,0.035,0,"0","Clic5"
0,2.0052244187099,0.613,0.213,0,"0","Mast4"
0,2.45454895453905,0.514,0.115,0,"0","Tjp1"
0,3.97975476277645,0.429,0.03,0,"0","Upp1"
0,2.8646888695785,0.502,0.104,0,"0","Adam15"
0,2.55897913045536,0.514,0.116,0,"0","Gja1"
0,1.89733269963232,0.69,0.295,0,"0","Col4a2"
0,1.61537531303146,0.738,0.345,0,"0","Actn4"
0,2.92259791736298,0.467,0.074,0,"0","Afdn"
0,3.65774458794669,0.43,0.038,0,"0","Arap3"
0,1.91990887082861,0.561,0.17,0,"0","Notch1"
0,1.89866890229979,0.581,0.191,0,"0","Heg1"
0,2.24212240278251,0.719,0.334,0,"0","Emp1"
0,4.28584175914403,0.411,0.026,0,"0","Cd300lg"
0,1.60179730512757,0.928,0.544,0,"0","Ifitm3"
0,1.83972202371122,0.601,0.217,0,"0","Cpd"
0,2.6887055723194,0.446,0.065,0,"0","Mcam"
0,1.9252049545798,0.517,0.138,0,"0","Id1"
